,username,rating,review_year,review_month,platform,headline,post_text,visit_year,visit_month
0,ColH519b,4,2021,7,mobile,Superb real ale pub with good food. ,"I've been coming here for years and introduced many friends to this delightful place. Who wouldn't be impressed by the fantastic range of ales, etc. The service is always friendly but I suspect they are struggling to find experienced staff as our young server seemed out of her depth. However we all have to start somewhere so no criticism of that.My only minor complaint was the curries didn't seem to be quite as good as in the past. We had 4 different curries and they all looked like they were out of the same pan but with a few different flavours added. They were OK, not special although the lamb in mine was beautifully tender. Hope this is just a blip.We travel about 35 miles, to visit this place so if you haven't been give it a visit. Great that we can travel there by train to Wrenbury Station. ",2021.0,7.0
1,LWFB1984,5,2021,7,mobile,Great unexpected find. Good ale place,We ate heard looking for a quick stop before our Airbnb was ready and what a find. So good we ate there again the next day. Great range of ales and great quality and very tasty pub grub. We had our dogs in the beer garden and plenty of space between tables. Would visit again best time we are in the area.,2021.0,6.0
2,sloughrushhour,5,2021,7,non-mobile,High quality beer and food.,"Greatly enjoyed the Abbeydale ale and we all enjoyed our meal, particularly our gluten-free friend who had a far wider choice than normal.",2021.0,7.0
3,NigelJ380,5,2020,11,mobile,Excellent as always.,"This was our first visit since lock down, so we were really looking forward to it. All precautions are in evidence as you would expect. As usual, there is a superb choice of cask ales, which keeps me happy, and it is brought to the table pretty quickly. I had promised myself that I would change my starter, but as usual, I settled for the haddock pancake, which is the nicest starter I have had anywhere. To sum up, Great beer, great food and great service.Best pub/restaurant in the area.",2020.0,10.0
4,carol ann s,5,2020,10,non-mobile,Recommended,"Someone told us about this place so because my husband is a real ale fan we decided to check it out. Well we certainly were not disappointed! Great selection of ales, decent glass of wine, excellent home made curry, Attentive staff and a really comfortable atmosphere. We have eaten there twice now, it’s menu is varied, not just curry, and we popped in for a pint on Sunday, I think it will become a firm favourite. Plus all effort is made to make you feel safe during these troubled times, everyone wearing masks etc.",2020.0,10.0
5,kennethollerhead,4,2020,10,non-mobile,New visit,"Well known real ale country pub.keeps winning Cheshire pub of the year.. Always has a good selection of real ales.They have good range of meals and several lovely curries, we both had beef Madras which was quite hot! the beef was very tender, The place was refurbished during the lockdown but still retains its character. Will continue to visit .",2020.0,10.0
6,Travell1ng,4,2020,8,mobile,"Service was really good, good okay ",Service was really good; attentive and professional. All staff were wearing covid protective equipment. Starters was really tasty. Mains were okay. The goat curry went down a treat but the other two curries and burger just okay. Would recommend a trip. ,2020.0,8.0
7,rockyWirral,5,2020,8,non-mobile,Great pub and attentative staff . Top quality food,"Great to be back at the Bhurty , been going there for over 10 yrs now even though theyve barred me. The food has always been quality and great choice and in these trying times a smaller menu but still a lot of choice. we drive 40miles there of a sunday. The staff are always on hand to take orders or are dealing with orders and if they dont acknowledge you i always pipe up. they areobviously famous for their curries and real ales and have a loyal following of many. Thestaff are always hard working and nothing is too much trouble except for some old fella in a beard who just walks about the pub now and again ? Sure its a ghost The measures being taken for covid and safety of us and staff are greatly appreciated ad i think more than adequate thank you",2020.0,8.0
8,WilsWideWorld,4,2020,8,mobile,Curry night,"Saw the curry option and we decided to have it for tonight while we are on holiday. It says its closed in TripAdvisor but they were open. Called in to book a table. They couldn't find our booking but gave us seats to stay in. Good compliance with covid prevention measures. Pleasant ambiance. Very friendly, attentive and thoughtful staff. Food was good. Could have had more chicken pieces in the dishes. Ample parking.Would recommend to others. ",2020.0,8.0
9,michael h,5,2020,8,non-mobile,Covid meal for three,"Covid compliant with exceptionally good sanitising equipment at the door on arrival.Most staff wore face coverings and tables were well spaced out.As it was a nice evening we sat outside and the service was first class thoughout our stay. It was starting to get busy but we were surprised how quickly our drinks came after ordering them.I had chicken in a stilton and bacon sauce and my partner had steak pie. Our daughter had gammon. The food came quite quickly and was piping hot and delicious .For puddings we had a mini ginger pudding with ice cream. Again, delicious.We ordered three rounds of drinks and were surprised how quickly they came each time.A very enjoyable meal.",2020.0,8.0
